sample_idx,true_l3,true_w4,rank,l3,w4,curve_mae_dB,freq_err_MHz,depth_err_dB
0,9.0,0.5,1,10.589725494384766,0.558057427406311,1.2746977806091309,0.0,1.533050537109375
0,9.0,0.5,2,9.596405029296875,0.6427130103111267,1.599485993385315,0.0,4.622264862060547
0,9.0,0.5,3,11.247475624084473,0.8160141706466675,1.6529572010040283,1615.3850000000007,0.5169754028320312
0,9.0,0.5,4,9.956753730773926,0.8258596658706665,1.8253711462020874,0.0,0.695404052734375
0,9.0,0.5,5,11.93089485168457,0.885181725025177,2.164607048034668,1615.3850000000007,1.9587516784667969
0,9.0,0.5,6,12.6485595703125,1.2977731227874756,3.0994198322296143,1615.3850000000007,2.019451141357422
0,9.0,0.5,7,13.198051452636719,1.152995228767395,3.1118881702423096,1615.3850000000007,0.345794677734375
0,9.0,0.5,8,12.96141529083252,1.3812379837036133,3.172128915786743,1615.3850000000007,0.44509315490722656
0,9.0,0.5,9,13.808919906616211,1.3007935285568237,3.3893818855285645,538.4620000000009,1.1836929321289062
0,9.0,0.5,10,11.487858772277832,1.402795672416687,3.4778778553009033,1615.3850000000007,5.5433349609375
1,9.0,1.0,1,9.52041244506836,0.9195287823677063,1.4064323902130127,0.0,8.025161743164062
1,9.0,1.0,2,9.926952362060547,0.9813233017921448,1.789209008216858,0.0,13.09183120727539
1,9.0,1.0,3,9.361818313598633,1.3317314386367798,1.8009427785873413,0.0,10.883514404296875
1,9.0,1.0,4,10.364192962646484,1.2773773670196533,2.3381118774414062,897.4359999999999,11.166069030761719
1,9.0,1.0,5,11.487858772277832,1.402795672416687,2.9699618816375732,897.4359999999999,10.090373992919922
1,9.0,1.0,6,11.070240020751953,1.4969416856765747,2.980339527130127,897.4359999999999,9.418100357055664
1,9.0,1.0,7,10.12739372253418,1.6227302551269531,3.057158946990967,897.4359999999999,9.217239379882812
1,9.0,1.0,8,12.95036506652832,1.722233533859253,3.2559967041015625,2871.7949999999996,19.177101135253906
1,9.0,1.0,9,12.109417915344238,1.787240982055664,3.276447296142578,897.4359999999999,16.1131591796875
1,9.0,1.0,10,12.777719497680664,1.3464829921722412,3.3858819007873535,897.4359999999999,14.652475357055664
2,9.0,1.5,1,9.16467571258545,1.5141301155090332,0.7150477170944214,0.0,0.49297142028808594
2,9.0,1.5,2,9.592357635498047,1.8535736799240112,1.2316147089004517,0.0,1.7085514068603516
2,9.0,1.5,3,10.12739372253418,1.6227302551269531,1.4122976064682007,0.0,2.4000911712646484
2,9.0,1.5,4,10.478836059570312,1.4752626419067383,1.6381423473358154,0.0,2.4535655975341797
2,9.0,1.5,5,11.337157249450684,1.6130121946334839,1.8806955814361572,0.0,1.1707572937011719
2,9.0,1.5,6,12.109417915344238,1.787240982055664,1.9606873989105225,0.0,4.495828628540039
