data_index,excel_row,split,curve_mae_db,curve_rmse_db,geometry_mean_abs_error,frequency_error_mhz,depth_error_db,true_resonance_ghz,pred_resonance_ghz,true_depth_db,pred_depth_db,true_sx,pred_sx,error_sx,true_sy,pred_sy,error_sy,true_sl,pred_sl,error_sl,true_sw,pred_sw,error_sw
1,3,train,0.29677065248697554,0.8356191954678578,1.9411242,1.200000000000312,10.947674383676812,2.402,2.4008,-47.61216,-36.664485345327094,7.5,5.122766,2.377234,0.5,4.489854,3.9898539,2.0,2.5377257,0.5377257,6.5,5.640317,0.85968304
2,4,train,0.19515142337739327,0.5777734137370019,3.4585705,0.0,0.8221564860953166,2.3924,2.3924,-36.052345,-35.23018878978359,11.5,7.09194,4.40806,9.0,4.4098206,4.5901794,1.6,3.2891445,1.6891445,10.0,6.853102,3.1468978
3,5,train,0.19778415870023178,0.41075218207054154,0.38099134,2.4001999999998525,0.032715044295954954,2.4314001,2.4289999,-24.709946,-24.742660723006892,11.5,10.998693,0.50130653,4.5,3.5846968,0.91530323,4.2,4.227091,0.027091026,3.0,2.9197354,0.08026457
4,6,train,0.5139062785281377,0.9351203329845135,1.6816995,3.599899999999767,2.938314276022375,2.2964001,2.3,-20.10255,-17.164236230569422,5.0,1.628272,3.371728,8.5,5.9310336,2.5689664,4.2,3.7873666,0.41263318,10.0,9.62653,0.3734703
5,7,validation,0.4624855726537184,0.8903832453663928,2.2615004,2.4001999999998525,2.3846837851298748,2.2490001,2.2465999,-11.790034,-9.405350508998543,8.0,0.65241325,7.3475866,0.0,1.0808641,1.0808641,4.4,4.6492624,0.24926233,9.5,9.868288,0.36828804
6,8,validation,0.2011177021087261,0.4685196689952455,1.2726966,1.200000000000312,1.801740645651229,2.4158001,2.4170001,-28.034176,-26.232435227151505,8.0,6.894741,1.105259,7.0,5.016298,1.9837022,4.0,2.609254,1.3907461,5.0,4.388921,0.6110792
7,9,validation,0.05450993931993074,0.12861445551805833,1.4808705,0.0,1.1854703796507735,2.4254,2.4254,-26.122372,-24.93690129393321,8.0,9.056696,1.0566959,1.5,4.5614166,3.0614166,3.8,2.782145,1.0178549,2.0,2.787515,0.7875149
8,10,train,0.6943253304882249,1.4163703058578467,1.878453,29.40010000000015,1.9118546474718165,2.2742,2.3036001,-10.896591,-8.984736539051621,3.0,1.1159707,1.8840293,0.0,2.0995145,2.0995145,1.4,3.826678,2.4266782,8.5,9.60359,1.10359
9,11,validation,0.05143390112547522,0.1173377104338011,1.3514225,0.5999000000000976,0.8809018977607224,2.4266,2.4260001,-25.735855,-24.85495320477834,8.5,9.74645,1.2464504,3.0,4.813862,1.8138618,4.8,3.1063426,1.6936576,2.0,2.6517203,0.6517203
10,12,validation,0.6628921714542132,1.3923316428931143,1.1523459,6.599899999999881,2.4572468688096833,2.3455999,2.339,-21.884928,-19.427680880824106,5.0,2.350085,2.649915,3.5,4.199061,0.6990609,4.2,2.9650989,1.234901,8.5,8.474493,0.025506973
11,13,train,1.6287718803518834,3.764098032050055,1.3362672,28.199900000000167,3.9772050552649603,2.3708,2.3989999,-26.967665,-30.94486977389289,2.0,4.840864,2.8408642,4.5,3.0287132,1.4712868,2.8,2.797339,0.0026609898,7.0,5.969743,1.0302572
12,14,train,0.20759649258580165,0.5235948144576805,0.62487996,0.6000999999997703,2.6914675590893467,2.3978,2.3984001,-36.748116,-34.056647980461435,8.5,7.1255426,1.3744574,7.0,6.8077955,0.19220448,2.0,2.2475286,0.24752855,7.5,6.8146706,0.68532944
13,15,train,0.17938246163596633,0.4170416523075885,1.785733,0.0,3.076911014839304,2.4128001,2.4128001,-32.21896,-29.142048793510305,8.0,6.5398874,1.4601126,1.5,4.6407423,3.1407423,1.4,2.71958,1.31958,6.0,4.777503,1.222497
14,16,train,0.09652046120510611,0.20119277396841917,0.8412924,0.0,1.1334805021416443,2.4284,2.4284,-25.396196,-24.2627158632148,11.5,10.746723,0.7532768,3.0,4.3087797,1.3087797,3.4,3.8687217,0.46872163,3.5,2.6656086,0.83439136
15,17,validation,0.2062932101898425,0.6123331554134402,2.011375,0.0,9.643732436321471,2.3984001,2.3984001,-44.58971,-34.94597779927423,9.0,7.560958,1.4390421,2.0,7.1569057,5.1569057,3.0,1.9352314,1.0647686,7.5,7.1152167,0.38478327
16,18,train,0.0849201831284155,0.17169743343231597,1.4773438,0.6000999999997703,0.7579276452547177,2.4284,2.4277999,-24.988098,-24.230170499276532,11.0,10.6783905,0.3216095,9.0,4.361616,4.638384,3.2,3.8361485,0.63614845,3.0,2.6867669,0.31323314
17,19,validation,2.1163250608374184,5.0335177832926705,2.9922886,29.999999999999805,22.302893643270497,2.4056001,2.3756001,-48.488567,-26.185673709024424,1.5,7.008518,5.508518,2.0,4.2275543,2.2275543,4.4,4.498204,0.098204136,4.0,8.134877,4.134877
18,20,train,0.09600289504950513,0.21427311169276314,1.4917676,0.0,1.5251332803856812,2.4284,2.4284,-25.810884,-24.285751195322327,10.0,10.751649,0.7516489,2.0,4.387523,2.3875232,4.8,3.8407927,0.95920753,4.5,2.631309,1.868691
19,21,validation,0.3307371446290944,0.9026474889034306,1.4925796,0.0,5.933119773713429,2.3840001,2.3840001,-28.02864,-33.96176052078374,2.0,4.6358957,2.6358957,2.0,4.264438,2.2644382,3.4,3.0214992,0.37850094,6.0,6.6914835,0.6914835
20,22,train,0.2916866516319895,0.6440319770705832,0.5576361,0.6000999999997703,2.0232243059317767,2.381,2.3803999,-39.937,-37.913775968726426,4.0,5.4061537,1.4061537,7.5,7.564257,0.064257145,3.4,3.178168,0.22183204,6.5,7.0383015,0.53830147
21,23,train,0.2180220109884351,0.4920863649885063,2.9410586,0.5999000000000976,3.4750948638027097,2.4158001,2.4164,-29.745129,-26.270033767789087,11.0,6.657179,4.342821,2.5,4.891198,2.3911982,4.0,2.5499582,1.4500418,8.0,4.4198265,3.5801735
22,24,validation,0.053306131053005676,0.12170596636586366,1.8376894,0.0,1.1606924684321953,2.4254,2.4254,-26.105171,-24.944478735181086,4.5,8.995624,4.4956236,5.0,4.522806,0.47719383,1.2,2.7624547,1.5624547,2.0,2.8154855,0.8154855
23,25,train,0.10742582718759337,0.19817688644497644,1.6455011,0.0,0.8803289354137078,2.4224,2.4224,-26.266792,-25.386463361949573,6.5,7.595686,1.095686,7.0,4.3324294,2.6675706,4.8,2.4168608,2.3831394,3.0,3.4356089,0.43560886
24,26,validation,0.1365321167816229,0.27207217698740743,0.7330218,0.0,2.110445909188936,2.4205999,2.4205999,-27.865181,-25.754735060049345,7.0,7.0658126,0.06581259,4.0,4.6258287,0.62582874,1.0,2.4417152,1.4417152,4.5,3.7012694,0.7987306
25,27,validation,0.4687019212965596,1.2663742339481088,2.0324442,3.599899999999767,10.541170776055196,2.3929999,2.3894,-43.776905,-33.23573428375926,2.0,4.941291,2.9412909,7.5,3.5554082,3.9445918,2.2,1.9117417,0.2882583,6.0,6.955636,0.955636
26,28,train,0.4071535073619382,0.9132689063527502,1.3716955,0.5997999999998171,0.2999855346753577,2.3726001,2.3731999,-29.406712,-29.106726043693783,2.0,4.3313365,2.3313365,5.5,3.6738145,1.8261855,2.0,2.9744911,0.9744911,7.5,7.1452312,0.35476875
27,29,train,0.04691384152674329,0.10248168036954923,0.83840734,0.0,0.9328710173084289,2.4254,2.4254,-25.874788,-24.94191726699333,8.5,9.003008,0.5030079,7.0,4.511327,2.4886732,2.8,2.7842956,0.015704393,2.5,2.8462439,0.34624386
28,30,train,0.4345088068250072,0.9469115240310828,2.8256125,3.0000000000001137,4.221920386530265,2.3510001,2.3540001,-27.460676,-23.23875580670704,2.5,5.518652,3.018652,8.5,3.823997,4.676003,1.6,4.628066,3.0280662,9.0,8.420271,0.5797291
29,31,train,0.1645080923977456,0.35688926747036,1.6466805,0.5997999999998171,0.383489617473753,2.4133999,2.4128001,-29.007513,-28.624023428790895,6.5,6.8127146,0.31271458,9.0,4.9844,4.0156,1.2,2.723377,1.523377,5.5,4.76497,0.7350302
30,32,validation,1.3231700596694005,3.629599822333042,2.4523845,18.599999999999728,18.569630925975197,2.3743999,2.3557999,-38.780804,-20.211172754444725,1.0,4.304687,3.304687,9.0,4.7948494,4.2051506,1.0,3.0397267,2.0397267,8.5,8.240026,0.25997353
31,33,train,0.12440169517075823,0.23105658622110795,2.2203372,0.0,1.2112343952215952,2.4217999,2.4217999,-26.74453,-25.5332953288995,10.0,7.323882,2.676118,8.0,4.4416227,3.5583773,1.2,2.392108,1.1921079,5.0,3.545255,1.454745
32,34,train,0.43151478775247387,1.0034656702312763,1.595158,0.5999000000000976,5.66113962005136,2.3168001,2.3174,-20.837034,-15.175894605412507,3.0,2.672288,0.32771206,7.5,2.753863,4.7461367,2.8,3.5283883,0.7283883,9.5,8.921605,0.5783949
33,35,validation,0.14419993617253873,0.2729331197856905,2.0276628,0.0,2.1984512390861752,2.4212,2.4212,-28.01667,-25.818218987964606,2.0,6.7975216,4.7975216,2.5,4.5650153,2.0650153,1.6,2.2536001,0.6536001,3.0,3.5945137,0.59451365
34,36,train,0.045095043685614955,0.1063890530493522,0.40975493,0.6000999999997703,0.7245515995574827,2.4272001,2.4266,-25.532228,-24.80767687029115,10.5,9.905128,0.5948725,5.5,4.818468,0.6815319,3.2,3.2065024,0.00650239,3.0,2.643887,0.35611296
35,37,train,0.1427825413851193,0.31084723562184724,1.6537844,0.0,1.48670500562622,2.4188001,2.4188001,-27.839012,-26.352307140369874,10.5,7.5271664,2.9728336,5.5,4.2319317,1.2680683,2.4,2.9436867,0.5436866,6.0,4.169451,1.8305488
36,38,train,0.1302246487590734,0.25635816030546876,1.675319,0.0,2.293099762563134,2.4217999,2.4217999,-27.997742,-25.704641936655616,5.0,6.999874,1.9998741,0.5,4.512827,4.012827,2.0,2.2190719,0.21907187,3.0,3.469503,0.46950293
37,39,train,0.11245465794243253,0.21405006067319104,2.345027,0.0,1.7943840586514455,2.4230001,2.4230001,-27.288923,-25.49453920489836,2.0,7.465316,5.465316,2.0,4.254835,2.2548351,2.6,2.2820191,0.31798077,2.0,3.3419757,1.3419757
38,40,train,0.11071254495361352,0.211611274174823,2.5905876,0.0,0.6957462131071956,2.4224,2.4224,-26.043524,-25.347777575344953,11.0,7.6573887,3.3426113,8.5,4.41821,4.08179,3.0,2.5133727,0.48662734,6.0,3.5486789,2.4513211
39,41,train,0.12138850122160726,0.22074210078445558,2.1258986,0.0,1.0352533697366582,2.4224,2.4224,-26.535183,-25.4999295831442,4.0,7.378082,3.3780818,8.5,4.3835773,4.1164227,2.4,2.377059,0.022941113,2.5,3.486149,0.9861491
40,42,train,0.15192831422710792,0.31291667494448266,1.1760529,0.0,1.7155526301895208,2.4188001,2.4188001,-28.149403,-26.433849988218682,9.5,7.3305044,2.1694956,3.5,4.287503,0.78750277,2.0,2.8224068,0.82240677,5.0,4.0751934,0.9248066
41,43,train,0.5123021379769597,0.9440482931287602,0.14482224,1.799800000000129,2.230841184899756,2.2448001,2.2465999,-11.576052,-9.345210527136377,1.0,0.8149588,0.18504119,1.0,1.2256439,0.22564387,4.8,4.8717394,0.0717392,10.0,9.903135,0.0968647
42,44,validation,0.23207859040120224,0.5591392533068948,1.6188198,0.5998999999996535,5.638171685190379,2.4145999,2.414,-31.921207,-26.283035742788137,7.0,6.472124,0.5278759,0.5,5.5711837,5.0711837,1.8,2.2224994,0.42249942,5.0,4.5462794,0.45372057
