date,return_historical_best,return_online_conservative,return_csi300,net_value_historical_best,net_value_online_conservative,net_value_csi300,drawdown_historical_best,drawdown_online_conservative,drawdown_csi300
2019-01-02,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
2019-01-03,0.0000000000,0.0000000000,-0.0015803821,1.0000000000,1.0000000000,0.9984196179,0.0000000000,0.0000000000,-0.0015803821
2019-01-04,0.0000000000,0.0000000000,0.0239581064,1.0000000000,1.0000000000,1.0223398613,0.0000000000,0.0000000000,0.0000000000
2019-01-07,0.0000000000,0.0000000000,0.0060704100,1.0000000000,1.0000000000,1.0285458834,0.0000000000,0.0000000000,0.0000000000
2019-01-08,0.0000000000,0.0000000000,-0.0021608858,1.0000000000,1.0000000000,1.0263233132,0.0000000000,0.0000000000,-0.0021608858
2019-01-09,0.0000000000,0.0000000000,0.0100967844,1.0000000000,1.0000000000,1.0366858784,0.0000000000,0.0000000000,0.0000000000
2019-01-10,0.0000000000,0.0000000000,-0.0018804765,1.0000000000,1.0000000000,1.0347364150,0.0000000000,0.0000000000,-0.0018804765
2019-01-11,0.0000000000,0.0000000000,0.0071898007,1.0000000000,1.0000000000,1.0421759636,0.0000000000,0.0000000000,0.0000000000
2019-01-14,0.0000000000,0.0000000000,-0.0087224350,1.0000000000,1.0000000000,1.0330856515,0.0000000000,0.0000000000,-0.0087224350
2019-01-15,0.0000000000,0.0000000000,0.0196252409,1.0000000000,1.0000000000,1.0533602062,0.0000000000,0.0000000000,0.0000000000
2019-01-16,0.0000000000,0.0000000000,0.0002113178,1.0000000000,1.0000000000,1.0535828000,0.0000000000,0.0000000000,0.0000000000
2019-01-17,0.0000000000,0.0000000000,-0.0055087640,1.0000000000,1.0000000000,1.0477788610,0.0000000000,0.0000000000,-0.0055087640
2019-01-18,0.0000000000,0.0000000000,0.0182415338,1.0000000000,1.0000000000,1.0668919545,0.0000000000,0.0000000000,0.0000000000
2019-01-21,0.0000000000,0.0000000000,0.0055120096,1.0000000000,1.0000000000,1.0727726732,0.0000000000,0.0000000000,0.0000000000
2019-01-22,0.0000000000,0.0000000000,-0.0132843175,1.0000000000,1.0000000000,1.0585216204,0.0000000000,0.0000000000,-0.0132843175
2019-01-23,0.0000000000,0.0000000000,-0.0007202582,1.0000000000,1.0000000000,1.0577592115,0.0000000000,0.0000000000,-0.0139950076
2019-01-24,0.0000000000,0.0000000000,0.0056439672,1.0000000000,1.0000000000,1.0637291697,0.0000000000,0.0000000000,-0.0084300278
2019-01-25,0.0000000000,0.0000000000,0.0081322510,1.0000000000,1.0000000000,1.0723796823,0.0000000000,0.0000000000,-0.0003663319
2019-01-28,0.0000000000,0.0000000000,-0.0002173047,1.0000000000,1.0000000000,1.0721466492,0.0000000000,0.0000000000,-0.0005835569
2019-01-29,0.0000000000,0.0000000000,0.0032012292,1.0000000000,1.0000000000,1.0755788364,0.0000000000,0.0000000000,0.0000000000
2019-01-30,0.0000000000,0.0000000000,-0.0079797268,1.0000000000,1.0000000000,1.0669960112,0.0000000000,0.0000000000,-0.0079797268
2019-01-31,0.0000000000,0.0000000000,0.0104627389,1.0000000000,1.0000000000,1.0781597119,0.0000000000,0.0000000000,0.0000000000
2019-02-01,-0.0006269220,-0.0025299099,0.0142939556,0.9993730780,0.9974700901,1.0935708789,-0.0006269220,-0.0025299099,0.0000000000
2019-02-11,-0.0010915124,0.0011108185,0.0181914931,0.9982822500,0.9985780984,1.1134645660,-0.0017177500,-0.0014219016,0.0000000000
2019-02-12,0.0051586548,0.0107494861,0.0072170579,1.0034320435,1.0093122998,1.1215005043,0.0000000000,0.0000000000,0.0000000000
2019-02-13,0.0088767833,0.0056816261,0.0200256130,1.0123392923,1.0150468349,1.1439592394,0.0000000000,0.0000000000,0.0000000000
2019-02-14,-0.0044579793,-0.0035470947,0.0015051396,1.0078263047,1.0114463676,1.1456810578,-0.0044579793,-0.0035470947,0.0000000000
2019-02-15,-0.0280413994,-0.0316663512,-0.0186459111,0.9795654448,0.9794175518,1.1243187907,-0.0323743707,-0.0351011223,-0.0186459111
2019-02-18,0.0307800150,0.0403378976,0.0320603444,1.0097164839,1.0189251967,1.1603648383,-0.0025908393,0.0000000000,0.0000000000
2019-02-19,-0.0004863877,-0.0096108752,-0.0017810377,1.0092253702,1.0091324338,1.1582981847,-0.0030759668,-0.0096108752,-0.0017810377
2019-02-20,0.0034353776,0.0061081670,0.0035818045,1.0126924405,1.0152963833,1.1624469824,0.0000000000,-0.0035614130,0.0000000000
2019-02-21,-0.0047003022,-0.0025604932,-0.0026715513,1.0079324800,1.0126967238,1.1593414457,-0.0047003022,-0.0061127872,-0.0026715513
2019-02-22,0.0076729088,0.0070051557,0.0224860974,1.0156662539,1.0197908220,1.1854105104,0.0000000000,0.0000000000,0.0000000000
2019-02-25,0.0469504229,0.0470458918,0.0594766994,1.0633522140,1.0677677907,1.2559148149,0.0000000000,0.0000000000,0.0000000000
2019-02-26,-0.0180436684,-0.0199169033,-0.0120097075,1.0441654393,1.0465011629,1.2408316454,-0.0180436684,-0.0199169033,-0.0120097075
2019-02-27,0.0072191024,0.0050511215,-0.0017100475,1.0517033765,1.0517871674,1.2387097643,-0.0109548251,-0.0149663845,-0.0136992178
2019-02-28,0.0022547005,-0.0016723216,-0.0024527022,1.0540746526,1.0500282410,1.2356715782,-0.0087248244,-0.0166136775,-0.0161183199
2019-03-01,0.0336778472,0.0473402068,0.0218958568,1.0895736178,1.0997367951,1.2627276661,0.0000000000,0.0000000000,0.0000000000
2019-03-04,0.0232912102,0.0244932073,0.0118382362,1.1149511060,1.1266728764,1.2776761345,0.0000000000,0.0000000000,0.0000000000
2019-03-05,0.0101840556,0.0015153868,0.0057744859,1.1263058300,1.1283802216,1.2850540573,0.0000000000,0.0000000000,0.0000000000
2019-03-06,-0.0030779796,-0.0051195443,0.0084058938,1.1228390837,1.1226034291,1.2958560852,-0.0030779796,-0.0051195443,0.0000000000
2019-03-07,-0.0181397546,-0.0190953056,-0.0101975266,1.1024710582,1.1011669735,1.2826415584,-0.0211619004,-0.0241170907,-0.0101975266
2019-03-08,-0.0377330341,-0.0345779099,-0.0397154101,1.0608714802,1.0630909211,1.2317009229,-0.0580964318,-0.0578610820,-0.0495079377
2019-03-11,0.0103745715,0.0081117704,0.0197876792,1.0718775672,1.0717144706,1.2560734256,-0.0483245859,-0.0502186674,-0.0306999057
2019-03-12,0.0020332912,0.0033224062,0.0068089312,1.0740570064,1.0752751414,1.2646259431,-0.0463895527,-0.0470631080,-0.0241000081
2019-03-13,0.0042636270,-0.0069804195,-0.0082966945,1.0786363848,1.0677692698,1.2541337280,-0.0423237134,-0.0537150073,-0.0321967522
2019-03-14,-0.0088030451,-0.0006139520,-0.0069032387,1.0691411002,1.0671137107,1.2454761436,-0.0507541809,-0.0542959809,-0.0388777290
2019-03-15,0.0197876876,0.0220925551,0.0125781232,1.0902969302,1.0906889791,1.2611418960,-0.0319708012,-0.0334029627,-0.0267886146
2019-03-18,0.0325663075,0.0395646236,0.0285024987,1.1258038753,1.1338416780,1.2970875912,-0.0004456647,0.0000000000,0.0000000000
2019-03-19,-0.0088769815,-0.0118818037,-0.0046173853,1.1158101351,1.1203695938,1.2910984380,-0.0093186900,-0.0118818037,-0.0046173853
2019-03-20,0.0089301421,0.0162328262,0.0003852412,1.1257744782,1.1385563587,1.2915958222,-0.0004717652,0.0000000000,-0.0042339229
2019-03-21,0.0004957489,-0.0048567879,0.0003785747,1.1263325796,1.1330266319,1.2920847877,0.0000000000,-0.0048567879,-0.0038569511
2019-03-22,-0.0046677550,-0.0036274154,-0.0008053395,1.1210751351,1.1289166737,1.2910442207,-0.0046677550,-0.0084665857,-0.0046591845
2019-03-25,-0.0310577846,-0.0321527691,-0.0237299745,1.0862570250,1.0926188766,1.2604077743,-0.0355805695,-0.0403471306,-0.0282785967
2019-03-26,-0.0063443203,-0.0011574115,-0.0113248682,1.0793654626,1.0913542670,1.2461338223,-0.0416991552,-0.0414578438,-0.0392832136
2019-03-27,0.0145470478,0.0216776509,0.0116064639,1.0950670436,1.1150122638,1.2605970295,-0.0277587070,-0.0206789016,-0.0281326889
2019-03-28,-0.0129147252,-0.0132670738,-0.0040049292,1.0809245536,1.1002193137,1.2555484276,-0.0403149362,-0.0336716269,-0.0320249487
2019-03-29,0.0330168665,0.0324424090,0.0386080338,1.1166132953,1.1359130787,1.3040226837,-0.0086291425,-0.0023216066,0.0000000000
2019-04-01,0.0243359318,0.0187640717,0.0262340016,1.1437871202,1.1572274332,1.3382324169,0.0000000000,0.0000000000,0.0000000000
2019-04-02,0.0063300077,0.0155591919,-0.0006650850,1.1510273015,1.1752329569,1.3373423785,0.0000000000,0.0000000000,-0.0006650850
2019-04-03,0.0159724814,0.0153853969,0.0128097077,1.1694120636,1.1933143824,1.3544733435,0.0000000000,0.0000000000,0.0000000000
2019-04-04,0.0135858337,0.0311248197,0.0099633132,1.1852995014,1.2304560774,1.3679683856,0.0000000000,0.0000000000,0.0000000000
2019-04-08,0.0244812873,0.0561397624,-0.0012313434,1.2143171591,1.2995335892,1.3662839468,0.0000000000,0.0000000000,-0.0012313434
2019-04-09,-0.0037375249,-0.0320112038,0.0044863143,1.2097786185,1.2579339546,1.3724135260,-0.0037375249,-0.0320112038,0.0000000000
2019-04-10,0.0007063906,0.0046719137,0.0025560493,1.2106331947,1.2638109135,1.3759214827,-0.0030337744,-0.0274888437,0.0000000000
2019-04-11,-0.0203491219,-0.0334695005,-0.0216038437,1.1859978723,1.2215117935,1.3461962900,-0.0233211617,-0.0600383063,-0.0216038437
2019-04-12,-0.0030670969,0.0017150779,-0.0022416079,1.1823603020,1.2236067814,1.3431786458,-0.0263167303,-0.0584261988,-0.0237970242
2019-04-15,0.0032578248,-0.0095847924,-0.0032823415,1.1862122247,1.2118787644,1.3387698747,-0.0231446407,-0.0674509882,-0.0270012558
2019-04-16,0.0245993904,0.0320886049,0.0277359664,1.2153923223,1.2507662633,1.3759019510,0.0000000000,-0.0375267914,-0.0000141953
2019-04-17,-0.0140804698,0.0085988129,0.0003548886,1.1982790275,1.2615213683,1.3763902429,-0.0140804698,-0.0292506644,0.0000000000
2019-04-18,-0.0069230704,-0.0158256831,-0.0037100840,1.1899832573,1.2415569310,1.3712837195,-0.0209060601,-0.0446134357,-0.0037100840
2019-04-19,0.0138906641,0.0130146193,0.0119182481,1.2065129150,1.2577153217,1.3876270190,-0.0073057951,-0.0321794433,0.0000000000
2019-04-22,-0.0417674822,-0.0348550763,-0.0230541277,1.1561199083,1.2138775582,1.3556364885,-0.0487681327,-0.0659129027,-0.0230541277
2019-04-23,0.0089301002,-0.0046037897,-0.0016407451,1.1664441749,1.2082891213,1.3534122346,-0.0402735368,-0.0702132432,-0.0246570469
2019-04-24,0.0021838726,0.0113338740,0.0027576477,1.1689915404,1.2219837179,1.3571444687,-0.0381776165,-0.0596751573,-0.0219673946
2019-04-25,-0.0157912879,-0.0404361190,-0.0219032438,1.1505316584,1.1725714388,1.3274186026,-0.0533660307,-0.0976982445,-0.0433894812
2019-04-26,-0.0154827973,-0.0140691185,-0.0133293893,1.1327182100,1.1560743923,1.3097249233,-0.0680225725,-0.1103928348,-0.0561405152
2019-04-29,0.0224272894,0.0214746794,0.0028434613,1.1581220090,1.1809007193,1.3134490754,-0.0471208450,-0.0912888061,-0.0534566873
2019-04-30,-0.0035372966,-0.0099002648,0.0033017694,1.1540253879,1.1692094895,1.3177857813,-0.0504914613,-0.1002852876,-0.0503314196
2019-05-06,-0.0453721085,-0.0697476376,-0.0584162214,1.1016648228,1.0876598898,1.2408057154,-0.0935726657,-0.1630382632,-0.1058074696
2019-05-07,0.0090899086,0.0054058320,0.0097844660,1.1116788554,1.0935395965,1.2529463367,-0.0853333241,-0.1585137887,-0.0970582732
2019-05-08,-0.0204178228,-0.0174048030,-0.0143014641,1.0889807935,1.0745067552,1.2350273696,-0.1040088262,-0.1731596904,-0.1099716619
2019-05-09,-0.0247720212,-0.0268605402,-0.0184751996,1.0620045382,1.0456449233,1.2122099925,-0.1262043385,-0.1953690678,-0.1264151131
2019-05-10,0.0347907677,0.0493365906,0.0363227491,1.0989524914,1.0972334788,1.2562407919,-0.0958043167,-0.1556713209,-0.0946841084
2019-05-13,-0.0079331780,-0.0131550032,-0.0165465248,1.0902343056,1.0827993688,1.2354543725,-0.1029774620,-0.1667784674,-0.1096639403
2019-05-14,-0.0072973453,-0.0071643891,-0.0064259382,1.0822784894,1.0750417728,1.2275154191,-0.1095233452,-0.1727479907,-0.1153851848
2019-05-15,0.0265773761,0.0350791856,0.0224797333,1.1110426119,1.1127533627,1.2551096384,-0.0858568122,-0.1437286639,-0.0954992796
2019-05-16,0.0082248326,0.0042925791,0.0045265853,1.1201807513,1.1175299445,1.2607909993,-0.0783381376,-0.1400530515,-0.0914049799
2019-05-17,-0.0201780199,-0.0196128271,-0.0254284030,1.0975777219,1.0956120229,1.2287310976,-0.0969354490,-0.1569190423,-0.1145091002
2019-05-20,-0.0086092848,-0.0150724535,-0.0084872669,1.0881283626,1.0790984616,1.2183025288,-0.1047101889,-0.1696263409,-0.1220244978
2019-05-21,0.0163804641,0.0143712861,0.0135397502,1.1059524102,1.0946064943,1.2347980408,-0.0900449263,-0.1576928034,-0.1101369289
2019-05-22,-0.0024661614,-0.0018513836,-0.0047444949,1.1032249531,1.0925799578,1.2289395478,-0.0922890224,-0.1592522372,-0.1143588797
2019-05-23,-0.0140650448,-0.0214170040,-0.0179249675,1.0877080447,1.0691801685,1.2069108463,-0.1050560179,-0.1772585354,-0.1302339680
2019-05-24,0.0071151736,0.0102058653,0.0027759765,1.0954472762,1.0800920773,1.2102612025,-0.0986883362,-0.1688617468,-0.1278195179
2019-05-27,0.0044732045,0.0069171325,0.0120436972,1.1003474359,1.0875632173,1.2248372220,-0.0946565848,-0.1631126533,-0.1173152402
2019-05-28,0.0124764317,0.0176747037,0.0096401157,1.1140758455,1.1067855750,1.2366447946,-0.0833611296,-0.1483209175,-0.1088060570
2019-05-29,-0.0007545111,0.0143869674,-0.0022740765,1.1132352628,1.1227088630,1.2338325697,-0.0840527438,-0.1360678382,-0.1108327001
2019-05-30,-0.0057723897,-0.0080007011,-0.0062026650,1.1068092350,1.1137264050,1.2261795197,-0.0893399484,-0.1429799012,-0.1163479070
2019-05-31,0.0014295903,-0.0068024194,-0.0031292028,1.1083915187,1.1061503708,1.2223425553,-0.0880380776,-0.1488097114,-0.1191130336
2019-06-03,-0.0087690433,-0.0106620376,0.0006124323,1.0986719855,1.0943565540,1.2230911574,-0.0960351112,-0.1578851343,-0.1185735500
2019-06-04,-0.0172742314,-0.0239479217,-0.0092362030,1.0796932714,1.0681489889,1.2117944392,-0.1116504098,-0.1780520351,-0.1267145836
2019-06-05,-0.0041796995,-0.0062184251,-0.0003782167,1.0751804780,1.0615067845,1.2113361183,-0.1153634442,-0.1831632569,-0.1270448747
2019-06-06,-0.0025216438,0.0001149420,-0.0090150274,1.0724692559,1.0616287962,1.2004158900,-0.1175941824,-0.1830693681,-0.1349145890
2019-06-10,0.0197806626,0.0240717811,0.0129229100,1.0936834084,1.0871840921,1.2159287565,-0.1001396106,-0.1634043928,-0.1237351681
2019-06-11,0.0326097192,0.0346092893,0.0300580795,1.1293481172,1.1248107608,1.2524772397,-0.0707954160,-0.1344504134,-0.0973963302
2019-06-12,-0.0020789494,-0.0032245582,-0.0075767455,1.1270002595,1.1211837431,1.2429875385,-0.0727271854,-0.1372414284,-0.1042351285
2019-06-13,0.0023081197,-0.0063457342,-0.0015447990,1.1296015111,1.1140690091,1.2410673725,-0.0705869287,-0.1427162650,-0.1056189052
2019-06-14,-0.0051687935,-0.0047818331,-0.0082797140,1.1237628342,1.1087417171,1.2307916896,-0.0753908729,-0.1468156527,-0.1130241248
2019-06-17,0.0068175557,0.0028961940,-0.0000150484,1.1314241499,1.1119528481,1.2307731682,-0.0690872987,-0.1443446654,-0.1130374724
2019-06-18,0.0055955108,0.0029468731,0.0035005790,1.1377550459,1.1152296321,1.2350815868,-0.0638783667,-0.1418231576,-0.1099325900
2019-06-19,0.0181821955,0.0202569701,0.0131747636,1.1584419306,1.1378208054,1.2513534947,-0.0468576201,-0.1244390950,-0.0982061623
2019-06-20,0.0418392032,0.0468894046,0.0302965227,1.2069102179,1.1911725455,1.2892651543,-0.0069789024,-0.0833845655,-0.0708849449
2019-06-21,-0.0102584800,-0.0139168056,0.0014156914,1.1945291536,1.1745952288,1.2910903559,-0.0171657895,-0.0961409243,-0.0695696047
2019-06-24,0.0078370413,0.0096135568,0.0019110899,1.2038907280,1.1858872668,1.2935577456,-0.0094632771,-0.0874516237,-0.0677914686
2019-06-25,-0.0189077656,-0.0164490962,-0.0104017817,1.1811278442,1.1663804930,1.2801024403,-0.0281921133,-0.1024622197,-0.0774880982
2019-06-26,-0.0026256461,0.0010852590,-0.0018356834,1.1780266205,1.1676463180,1.2777525774,-0.0307437369,-0.1014881588,-0.0791815381
2019-06-27,0.0190518292,0.0182398769,0.0106701287,1.2004701825,1.1889440431,1.2913863618,-0.0122776321,-0.0850994134,-0.0693562866
2019-06-28,-0.0002165675,0.0073480001,-0.0024068945,1.2002101996,1.1976804040,1.2882781311,-0.0124915407,-0.0783767238,-0.0715962478
2019-07-01,0.0102101776,0.0209404366,0.0288123104,1.2124645589,1.2227603545,1.3253964004,-0.0024089040,-0.0590775300,-0.0448467908
