month,historical_best,online_conservative,csi300
2019-01,0.0000000000,0.0000000000,0.0781597119
2019-02,0.0540746526,0.0500282410,0.1460932593
2019-03,0.0593303733,0.0817928836,0.0553149451
2019-04,0.0335049680,0.0293124637,0.0105543391
2019-05,-0.0395432108,-0.0539331225,-0.0724269660
2019-06,0.0828395737,0.0827464652,0.0539419784
2019-07,-0.0012432390,-0.0235171908,0.0025541178
2019-08,-0.0486498766,-0.0642386777,-0.0093268999
2019-09,-0.0054061008,0.0092873843,0.0039325337
2019-10,0.0202674034,0.0251456564,0.0189336662
2019-11,-0.0035291656,0.0167394924,-0.0149433293
2019-12,0.1142261982,0.1409525048,0.0699752133
2020-01,-0.0908544427,-0.1132055174,-0.0226239826
2020-02,-0.0393460780,0.0170568038,-0.0159476970
2020-03,-0.0728459012,-0.0997848692,-0.0644390373
2020-04,0.0399436139,0.0682284183,0.0614250062
2020-05,-0.0505523251,-0.0673168844,-0.0116429652
2020-06,-0.0065949337,-0.0159098240,0.0767878765
2020-07,0.0612661099,0.1671092328,0.1275425384
2020-08,0.0171624091,-0.0375997787,0.0258078611
2020-09,-0.0337604431,-0.1472800438,-0.0475103345
2020-10,0.0639527604,0.0234409661,0.0235293653
2020-11,0.1347370764,0.1820517030,0.0564215690
2020-12,-0.0512426644,-0.0490382791,0.0506096475
2021-01,0.0739148785,0.0780601397,0.0269944947
2021-02,0.0139399920,0.0261089596,-0.0028407699
2021-03,0.0438380581,-0.0396713240,-0.0540403075
2021-04,-0.0478669684,-0.0565052818,0.0148817219
2021-05,0.0626860873,0.0521189917,0.0406130666
2021-06,0.0058157252,0.0075341445,-0.0201682822
2021-07,-0.0557287054,-0.0416666723,-0.0790329747
2021-08,0.0847825595,0.1068683748,-0.0011555610
2021-09,0.1213495570,0.0806758176,0.0126461992
2021-10,-0.0196480883,-0.0413426631,0.0087102687
2021-11,-0.0357391226,-0.0627738952,-0.0156340791
2021-12,0.0397296397,0.0389999542,0.0224227477
2022-01,0.0201902427,-0.0104511955,-0.0762293206
2022-02,0.0171373732,0.0114517652,0.0039164752
2022-03,0.0364048527,0.0225589507,-0.0783668376
2022-04,0.0193362413,-0.0132105639,-0.0488694066
2022-05,-0.0470568040,-0.0444558933,0.0187430485
2022-06,-0.0100303447,-0.0116946097,0.0961729213
2022-07,-0.0392425899,-0.0579508195,-0.0702136325
2022-08,0.0054272591,0.0105177258,-0.0218847650
2022-09,0.0182109866,0.0419928212,-0.0671649014
2022-10,-0.0385256033,-0.0460022841,-0.0778425305
2022-11,0.0733275140,0.0819539151,0.0981368502
2022-12,-0.0241459340,-0.0418322711,0.0048266607
2023-01,0.0668428016,0.0937198945,0.0736701906
2023-02,0.0524339747,0.0390636275,-0.0210252802
2023-03,0.0490358585,0.0855357588,-0.0045541683
2023-04,0.1332510955,0.1622922633,-0.0053913356
2023-05,0.0033389452,-0.0230506577,-0.0572195310
2023-06,-0.0204411404,-0.0262523191,0.0115592203
2023-07,0.0283569243,0.0149057353,0.0448095429
2023-08,-0.0502835781,-0.0505933827,-0.0621133937
2023-09,0.0261302915,0.0074172224,-0.0201182503
2023-10,-0.0311926735,-0.0389269778,-0.0317146102
2023-11,0.0484745454,0.0616778941,-0.0213583430
2023-12,-0.0031532243,0.0002362776,-0.0186181705
2024-01,0.0911192121,0.1185242379,-0.0628828881
2024-02,0.0531494686,0.0648729102,0.0935296722
2024-03,0.0131038518,0.0547314707,0.0060868024
2024-04,0.0279305002,0.0228772887,0.0189145716
2024-05,0.0581626200,0.0849897592,-0.0067888244
2024-06,0.0183338733,0.0150920375,-0.0330363653
2024-07,0.0023325784,-0.0395884119,-0.0056541130
2024-08,-0.0100294769,-0.0018309048,-0.0350520458
2024-09,0.1453730241,0.1522544668,0.2096752657
2024-10,-0.0668555519,-0.0809516710,-0.0315628403
2024-11,-0.0338648424,-0.0589540950,0.0065647237
2024-12,0.0272495485,0.0234587624,0.0046795125
2025-01,-0.0357077223,-0.0486556299,-0.0299449474
2025-02,-0.0437400180,-0.0698638900,0.0191163130
2025-03,0.0114669401,0.0191673815,-0.0007051583
2025-04,-0.0229136275,-0.0579479703,-0.0300298232
2025-05,0.0516883891,0.0457598923,0.0184751353
2025-06,0.0349587810,0.0142569379,0.0249585943
2025-07,0.0549368863,0.0455985311,0.0354444350
2025-08,0.0516514312,0.0761232726,0.1033390935
2025-09,-0.0572098696,-0.0477298078,0.0320084747
2025-10,0.0160141339,-0.0432910007,-0.0000055811
2025-11,0.0080435506,-0.0050590635,-0.0245667240
2025-12,0.0308566368,0.0751048477,0.0228154674
2026-01,0.0025806062,-0.0187763011,0.0165014251
2026-02,0.0233751388,-0.0324523435,0.0009151060
2026-03,0.0368028884,0.0525277916,-0.0553209794
2026-04,-0.0074898218,0.0010982166,0.0802817173
2026-05,0.0242051339,0.0356173416,0.0176428095
2026-06,-0.0487312466,0.0610953115,0.0178473702
